,word,upvotes,num_comments,frequency,avg_upvotes,avg_num_comments
318,home,393264,22970,57,6899.368421052632,402.9824561403509
319,say,1465142,106504,260,5635.161538461539,409.6307692307692
322,court,815473,65192,128,6370.8828125,509.3125
324,women,159048,11695,23,6915.130434782609,508.4782608695652
340,says,1655971,129113,213,7774.511737089202,606.1643192488262
342,border,96669,4972,28,3452.464285714286,177.57142857142858
345,india,31480,2336,52,605.3846153846154,44.92307692307692
347,law,568947,28188,67,8491.746268656716,420.7164179104478
348,protests,283418,72585,70,4048.8285714285716,1036.9285714285713
356,rules,498726,26956,33,15112.90909090909,816.8484848484849
361,cas,430351,26503,52,8275.98076923077,509.6730769230769
369,injured,62896,5936,30,2096.5333333333333,197.86666666666667
374,israel,13340,3407,24,555.8333333333334,141.95833333333334
378,oil,25737,3198,34,756.9705882352941,94.05882352941177
382,change,26195,4366,24,1091.4583333333333,181.91666666666666
385,calls,381725,36431,49,7790.306122448979,743.4897959183673
400,countries,13775,1965,16,860.9375,122.8125
405,group,534763,29844,60,8912.716666666667,497.4
409,ceo,507566,36549,32,15861.4375,1142.15625
410,twitter,402994,28595,18,22388.555555555555,1588.611111111111
412,business,209414,13562,22,9518.818181818182,616.4545454545455
413,data,282074,16378,37,7623.621621621622,442.64864864864865
416,violence,93994,7199,17,5529.058823529412,423.47058823529414
420,americans,149361,16674,24,6223.375,694.75
423,warns,49014,8164,33,1485.2727272727273,247.3939393939394
424,students,407786,24620,47,8676.297872340425,523.8297872340426
426,australia,79040,3330,32,2470.0,104.0625
427,report,311605,18785,90,3462.277777777778,208.72222222222223
428,virginia,435176,22005,34,12799.29411764706,647.2058823529412
433,family,502426,39289,67,7498.895522388059,586.4029850746268
434,shot,571459,71352,126,4535.388888888889,566.2857142857143
436,walmart,154241,10714,18,8568.944444444445,595.2222222222222
438,suit,124433,5855,17,7319.588235294118,344.4117647058824
439,c,31829,3845,21,1515.6666666666667,183.0952380952381
442,go,247564,16770,29,8536.689655172413,578.2758620689655
443,ahead,164351,9428,25,6574.04,377.12
451,move,42585,4101,22,1935.6818181818182,186.4090909090909
455,star,99564,8674,28,3555.8571428571427,309.7857142857143
467,new,1557464,100760,353,4412.079320113315,285.4390934844193
